source,kpi,value,unit,state_type,interpretation,safe_claim
calibrated_simulator,mean_delivered_heat_kW,72649.21293524928,kW,calibrated_simulator,operational energy-impact KPI,Real data support boundary conditions/calibration; internal distributed quantities remain calibrated-simulator or simulator-assisted estimates.
calibrated_simulator,peak_delivered_heat_kW,100638.39890109711,kW,calibrated_simulator,operational energy-impact KPI,Real data support boundary conditions/calibration; internal distributed quantities remain calibrated-simulator or simulator-assisted estimates.
calibrated_simulator,delivered_heat_error_percent,0.0290554282726331,%,calibrated_simulator,operational energy-impact KPI,Real data support boundary conditions/calibration; internal distributed quantities remain calibrated-simulator or simulator-assisted estimates.
calibrated_simulator,heat_loss_MWh,81.3021571568891,MWh,calibrated_simulator,pipe heat-loss estimate from calibrated simulator/reconstructed state,Real data support boundary conditions/calibration; internal distributed quantities remain calibrated-simulator or simulator-assisted estimates.
calibrated_simulator,heat_loss_MWh_per_day,10.162769644611137,MWh/day,calibrated_simulator,pipe heat-loss estimate from calibrated simulator/reconstructed state,Real data support boundary conditions/calibration; internal distributed quantities remain calibrated-simulator or simulator-assisted estimates.
calibrated_simulator,heat_loss_ratio_percent,0.5828676156058864,%,calibrated_simulator,pipe heat-loss estimate from calibrated simulator/reconstructed state,Real data support boundary conditions/calibration; internal distributed quantities remain calibrated-simulator or simulator-assisted estimates.
calibrated_simulator,pump_energy_proxy_kWh,100067.55285307916,kWh,simulator_assisted_hidden_state,pump-energy proxy from simulator-assisted flow/head and assumed pump efficiency,"Pressure/head and flow-based indicators are simulator-assisted hidden-state proxies, not real distributed measurements."
calibrated_simulator,pump_energy_proxy_kWh_per_day,12508.444106634895,kWh/day,simulator_assisted_hidden_state,pump-energy proxy from simulator-assisted flow/head and assumed pump efficiency,"Pressure/head and flow-based indicators are simulator-assisted hidden-state proxies, not real distributed measurements."
calibrated_simulator,normalized_pump_energy_proxy_kWh_per_MWh,7.173996111620764,kWh/MWh,calibrated_simulator,pump-energy proxy from simulator-assisted flow/head and assumed pump efficiency,"Pressure/head and flow-based indicators are simulator-assisted hidden-state proxies, not real distributed measurements."
calibrated_simulator,pressure_drop_energy_proxy_kWh,75050.66463980937,kWh,simulator_assisted_hidden_state,pressure/head proxy from simulator-assisted hidden hydraulic state,"Pressure/head and flow-based indicators are simulator-assisted hidden-state proxies, not real distributed measurements."
calibrated_simulator,pressure_drop_energy_proxy_kWh_per_day,9381.333079976172,kWh/day,simulator_assisted_hidden_state,pressure/head proxy from simulator-assisted hidden hydraulic state,"Pressure/head and flow-based indicators are simulator-assisted hidden-state proxies, not real distributed measurements."
calibrated_simulator,mean_pressure_drop_kPa,844.5234619235654,kPa,simulator_assisted_hidden_state,pressure/head proxy from simulator-assisted hidden hydraulic state,"Pressure/head and flow-based indicators are simulator-assisted hidden-state proxies, not real distributed measurements."
calibrated_simulator,max_pressure_drop_kPa,1464.4063723005536,kPa,simulator_assisted_hidden_state,pressure/head proxy from simulator-assisted hidden hydraulic state,"Pressure/head and flow-based indicators are simulator-assisted hidden-state proxies, not real distributed measurements."
calibrated_simulator,mean_energy_balance_residual_percent,0.9508840221983036,%,calibrated_simulator,energy-balance consistency indicator,Real data support boundary conditions/calibration; internal distributed quantities remain calibrated-simulator or simulator-assisted estimates.
calibrated_simulator,max_energy_balance_residual_percent,34.8596689359232,%,calibrated_simulator,energy-balance consistency indicator,Real data support boundary conditions/calibration; internal distributed quantities remain calibrated-simulator or simulator-assisted estimates.
calibrated_simulator,cumulative_energy_balance_residual_MWh,-4.054017583538658,MWh,calibrated_simulator,energy-balance consistency indicator,Real data support boundary conditions/calibration; internal distributed quantities remain calibrated-simulator or simulator-assisted estimates.
calibrated_simulator,cost_proxy_EUR,851929.0659420337,EUR,proxy_assumption_based,transparent operational cost proxy under stated tariff assumptions,"Cost and CO2 values are proxy indicators, not optimized economic-dispatch results."
calibrated_simulator,cost_proxy_EUR_per_day,106491.13324275421,EUR/day,proxy_assumption_based,transparent operational cost proxy under stated tariff assumptions,"Cost and CO2 values are proxy indicators, not optimized economic-dispatch results."
calibrated_simulator,CO2_proxy_kg,2530770.309612831,kgCO2,proxy_assumption_based,assumption-based CO2 proxy for operational interpretation,"Cost and CO2 values are proxy indicators, not optimized economic-dispatch results."
calibrated_simulator,CO2_proxy_kg_per_day,316346.2887016039,kgCO2/day,proxy_assumption_based,assumption-based CO2 proxy for operational interpretation,"Cost and CO2 values are proxy indicators, not optimized economic-dispatch results."
pignn_v3_balanced,evaluation_horizon,192.0 h full evaluation horizon,text,metadata,operational energy-impact KPI,Real data support boundary conditions/calibration; internal distributed quantities remain calibrated-simulator or simulator-assisted estimates.
pignn_v3_balanced,horizon_hours,192.0,h,metadata,operational energy-impact KPI,Real data support boundary conditions/calibration; internal distributed quantities remain calibrated-simulator or simulator-assisted estimates.
pignn_v3_balanced,delivered_heat_MWh,13495.840640783672,MWh,real_measured_node/calibrated_simulator,operational energy-impact KPI,Real data support boundary conditions/calibration; internal distributed quantities remain calibrated-simulator or simulator-assisted estimates.
pignn_v3_balanced,delivered_heat_MWh_per_day,1686.980080097959,MWh/day,real_measured_node/calibrated_simulator,operational energy-impact KPI,Real data support boundary conditions/calibration; internal distributed quantities remain calibrated-simulator or simulator-assisted estimates.
pignn_v3_balanced,boundary_heat_MWh,13189.71525390625,MWh,real_measured_node,operational energy-impact KPI,Real data support boundary conditions/calibration; internal distributed quantities remain calibrated-simulator or simulator-assisted estimates.
pignn_v3_balanced,boundary_heat_MWh_per_day,1648.7144067382812,MWh/day,real_measured_node,operational energy-impact KPI,Real data support boundary conditions/calibration; internal distributed quantities remain calibrated-simulator or simulator-assisted estimates.
pignn_v3_balanced,mean_delivered_heat_kW,70290.8366707483,kW,calibrated_simulator,operational energy-impact KPI,Real data support boundary conditions/calibration; internal distributed quantities remain calibrated-simulator or simulator-assisted estimates.
pignn_v3_balanced,peak_delivered_heat_kW,93351.24410274859,kW,calibrated_simulator,operational energy-impact KPI,Real data support boundary conditions/calibration; internal distributed quantities remain calibrated-simulator or simulator-assisted estimates.
pignn_v3_balanced,delivered_heat_error_percent,2.3209400732647376,%,calibrated_simulator,operational energy-impact KPI,Real data support boundary conditions/calibration; internal distributed quantities remain calibrated-simulator or simulator-assisted estimates.
pignn_v3_balanced,heat_loss_MWh,613.2409670263294,MWh,calibrated_simulator,pipe heat-loss estimate from calibrated simulator/reconstructed state,Real data support boundary conditions/calibration; internal distributed quantities remain calibrated-simulator or simulator-assisted estimates.
pignn_v3_balanced,heat_loss_MWh_per_day,76.65512087829117,MWh/day,calibrated_simulator,pipe heat-loss estimate from calibrated simulator/reconstructed state,Real data support boundary conditions/calibration; internal distributed quantities remain calibrated-simulator or simulator-assisted estimates.
pignn_v3_balanced,heat_loss_ratio_percent,4.543925668277007,%,calibrated_simulator,pipe heat-loss estimate from calibrated simulator/reconstructed state,Real data support boundary conditions/calibration; internal distributed quantities remain calibrated-simulator or simulator-assisted estimates.
pignn_v3_balanced,pump_energy_proxy_kWh,84085.30430273831,kWh,simulator_assisted_hidden_state,pump-energy proxy from simulator-assisted flow/head and assumed pump efficiency,"Pressure/head and flow-based indicators are simulator-assisted hidden-state proxies, not real distributed measurements."
pignn_v3_balanced,pump_energy_proxy_kWh_per_day,10510.663037842289,kWh/day,simulator_assisted_hidden_state,pump-energy proxy from simulator-assisted flow/head and assumed pump efficiency,"Pressure/head and flow-based indicators are simulator-assisted hidden-state proxies, not real distributed measurements."
pignn_v3_balanced,normalized_pump_energy_proxy_kWh_per_MWh,6.230460668647587,kWh/MWh,calibrated_simulator,pump-energy proxy from simulator-assisted flow/head and assumed pump efficiency,"Pressure/head and flow-based indicators are simulator-assisted hidden-state proxies, not real distributed measurements."
pignn_v3_balanced,pressure_drop_energy_proxy_kWh,63063.978227053725,kWh,simulator_assisted_hidden_state,pressure/head proxy from simulator-assisted hidden hydraulic state,"Pressure/head and flow-based indicators are simulator-assisted hidden-state proxies, not real distributed measurements."
pignn_v3_balanced,pressure_drop_energy_proxy_kWh_per_day,7882.997278381716,kWh/day,simulator_assisted_hidden_state,pressure/head proxy from simulator-assisted hidden hydraulic state,"Pressure/head and flow-based indicators are simulator-assisted hidden-state proxies, not real distributed measurements."
pignn_v3_balanced,mean_pressure_drop_kPa,735.2658369979263,kPa,simulator_assisted_hidden_state,pressure/head proxy from simulator-assisted hidden hydraulic state,"Pressure/head and flow-based indicators are simulator-assisted hidden-state proxies, not real distributed measurements."
pignn_v3_balanced,max_pressure_drop_kPa,1394.1424782943725,kPa,simulator_assisted_hidden_state,pressure/head proxy from simulator-assisted hidden hydraulic state,"Pressure/head and flow-based indicators are simulator-assisted hidden-state proxies, not real distributed measurements."
pignn_v3_balanced,mean_energy_balance_residual_percent,4.429163436153446,%,calibrated_simulator,energy-balance consistency indicator,Real data support boundary conditions/calibration; internal distributed quantities remain calibrated-simulator or simulator-assisted estimates.
pignn_v3_balanced,max_energy_balance_residual_percent,15.356277871028833,%,calibrated_simulator,energy-balance consistency indicator,Real data support boundary conditions/calibration; internal distributed quantities remain calibrated-simulator or simulator-assisted estimates.
pignn_v3_balanced,cumulative_energy_balance_residual_MWh,306.12538687742233,MWh,calibrated_simulator,energy-balance consistency indicator,Real data support boundary conditions/calibration; internal distributed quantities remain calibrated-simulator or simulator-assisted estimates.
pignn_v3_balanced,cost_proxy_EUR,822363.2340924311,EUR,proxy_assumption_based,transparent operational cost proxy under stated tariff assumptions,"Cost and CO2 values are proxy indicators, not optimized economic-dispatch results."
pignn_v3_balanced,cost_proxy_EUR_per_day,102795.4042615539,EUR/day,proxy_assumption_based,transparent operational cost proxy under stated tariff assumptions,"Cost and CO2 values are proxy indicators, not optimized economic-dispatch results."
pignn_v3_balanced,CO2_proxy_kg,2446068.3762016087,kgCO2,proxy_assumption_based,assumption-based CO2 proxy for operational interpretation,"Cost and CO2 values are proxy indicators, not optimized economic-dispatch results."
pignn_v3_balanced,CO2_proxy_kg_per_day,305758.5470252011,kgCO2/day,proxy_assumption_based,assumption-based CO2 proxy for operational interpretation,"Cost and CO2 values are proxy indicators, not optimized economic-dispatch results."
benchmark_metrics,cumulative_heat_loss_error_percent,0.6758407568755088,%,calibrated_simulator,PI-GNN-GRU-v3 cumulative heat-loss reconstruction error from benchmark metrics,Heat-loss error is evaluated against calibrated-simulator heat-loss states.
benchmark_metrics,pressure_drop_residual_percent,0.9258069319200358,%,simulator_assisted_hidden_state,pressure-drop residual for PI-GNN-GRU-v3 from benchmark metrics,Pressure-drop residual is simulator-assisted because dense real pressure measurements are unavailable.
